经度,纬度,降水量_avg,相对湿度 (%)_avg,温度_avg,降水量_avg_normalized,相对湿度 (%)_avg_normalized,温度_avg_normalized,加权均值,标记,id
112.952246,24.688057,1165.2798913043478,52.93282608695653,19.97255434782609,0.6029863819660212,0.0,0.4853650976398182,0.3725676514798218,0,1
112.965083,24.688057,1128.8940217391305,50.563804347826114,20.54891304347826,0.7136329080452168,0.2713048024497698,0.5792853031041052,0.5302830155598407,0,2
112.97792,24.688057,1094.7635869565215,50.82456521739131,21.139402173913048,0.8174208369141276,0.2414419797346081,0.6755081255811903,0.5885136992107479,1,3
112.862387,24.696527,1107.1929347826087,44.498152173913056,21.23913043478261,0.7796241819263566,0.9659546393805843,0.6917592879599702,0.8138115117395432,1,4
112.888061,24.696527,1279.4483695652175,44.34445652173913,18.25923913043477,0.2558091492034107,0.98355615306097,0.2061727848381508,0.4768075418724124,0,5
112.939409,24.696527,1223.7771739130435,51.29836956521737,19.05869565217392,0.4251008131156208,0.1871810192446567,0.3364477704467969,0.321596193186119,0,6
112.952246,24.696527,1186.6059782608695,49.54423913043481,19.63396739130435,0.5381354531632182,0.3880673189434086,0.4301908515254841,0.4573458863879551,0,7
112.965083,24.696527,1128.0842391304348,47.73717391304351,20.54239130434783,0.7160953923448139,0.595015808997432,0.578222556790507,0.6357795023450787,1,8
112.97792,24.696527,1094.7635869565215,49.710652173913054,21.139402173913048,0.8174208369141276,0.3690093858142249,0.6755081255811903,0.6298455387805438,1,9
112.990757,24.696527,1087.8532608695652,48.37054347826086,21.28206521739131,0.838434587162028,0.5224811412353435,0.6987557011911626,0.6944413626624644,1,10
113.003594,24.696527,1084.8125,49.23728260869565,21.28097826086957,0.8476812983407152,0.4232205541862729,0.6985785768055628,0.6657234062172005,1,11
113.016431,24.696527,1081.9130434782608,48.93684782608696,21.317934782608702,0.8564983142724931,0.4576269076605173,0.7046008059159559,0.6819985210399648,1,12
112.84955,24.704997,1092.9782608695652,44.20086956521739,21.63451086956522,0.8228498710914258,1.0,0.756188283221893,0.8603813596726831,1,13
112.862387,24.704997,1104.695652173913,44.361304347826085,21.35027173913044,0.787218219078469,0.9816267084920456,0.7098702563875495,0.8271568767665738,1,14
112.875224,24.704997,1179.2201086956522,44.31869565217392,19.829347826086952,0.5605952931843721,0.9865063360470024,0.4620289598370449,0.6692177037343608,1,15
112.888061,24.704997,1252.5516304347825,44.52195652173914,18.671739130434784,0.337599986778608,0.963228520925136,0.2733914891732721,0.521169499555693,0,16
112.900898,24.704997,1363.570652173913,44.891304347826086,16.994021739130435,0.0,0.9209301167625163,0.0,0.2983813578310553,0,17
112.913735,24.704997,1321.6603260869565,45.80065217391305,17.58695652173913,0.1274459575593309,0.8167899021584875,0.0966213523446838,0.3416076632554928,0,18
112.926572,24.704997,1262.4592391304348,46.67739130434784,18.478804347826088,0.3074717392741455,0.7163840963975384,0.2419519107293098,0.4204344340757637,0,19
112.939409,24.704997,1233.8967391304348,49.92510869565217,18.893750000000008,0.3943280227407946,0.3444494236562362,0.3095691449320298,0.3529092110503858,0,20
112.952246,24.704997,1190.3559782608695,49.21760869565217,19.57309782608695,0.5267320023798507,0.4254736475215985,0.4202718859318948,0.4621991807042861,0,21
112.965083,24.704997,1143.0326086956522,48.51695652173915,20.294836956521745,0.6706385932438683,0.5057136455299112,0.5378824779701558,0.5776415878329799,0,22
112.97792,24.704997,1108.7880434782608,49.4475,20.89619565217392,0.7747735836583595,0.3991460651778831,0.6358765443032381,0.611678949942859,1,23
112.990757,24.704997,1096.8505434782608,47.302608695652175,21.11684782608696,0.8110745686520793,0.644783030846217,0.6718327945799941,0.7157020617294985,1,24
113.003594,24.704997,1084.8125,49.30206521739132,21.28097826086957,0.8476812983407152,0.4158015286180181,0.6985785768055628,0.6633196419330859,1,25
113.016431,24.704997,1081.9130434782608,50.29934782608694,21.317934782608702,0.8564983142724931,0.301590858167155,0.7046008059159559,0.6314428410041155,1,26
112.84955,24.713467,1110.4619565217392,45.21923913043477,21.245923913043484,0.7696833476565078,0.8833744118306083,0.6928663153699697,0.7836277768275279,1,27
112.862387,24.713467,1152.2554347826087,44.645543478260855,20.4296195652174,0.6425927150128906,0.9490751114098652,0.5598459017845299,0.7172344611034589,1,28
112.875224,24.713467,1269.2690217391305,44.65184782608697,18.46902173913044,0.2867637337211606,0.9483531257001996,0.2403577912589125,0.4872897258686193,0,29
112.888061,24.713467,1312.2798913043478,45.46434782608696,17.77934782608696,0.1559711112580155,0.8553041053601214,0.1279723685958467,0.3742113760337715,0,30
112.900898,24.713467,1356.7635869565215,45.69630434782608,17.03586956521739,0.0206997421828524,0.8287400104563456,0.0068192888455914,0.2783684140089604,0,31
112.913735,24.713467,1312.3967391304348,45.67206521739131,17.677445652173905,0.1556157863423017,0.8315159210297006,0.111366957445865,0.3614212789698808,0,32
112.926572,24.713467,1266.8722826086955,48.67358695652173,18.36358695652174,0.2940520261783569,0.4877760350536523,0.2231767258557323,0.3356977655578105,0,33
112.939409,24.713467,1236.0054347826087,49.13293478260869,18.83260869565218,0.3879156475176833,0.4351706624841295,0.2996058982420415,0.3769099670826706,0,34
112.952246,24.713467,1194.1032608695652,49.97902173913043,19.49266304347827,0.5153368149666158,0.3382752010356771,0.407164681397513,0.425733556249399,0,35
112.965083,24.713467,1145.679347826087,49.69978260869566,20.22744565217392,0.6625900707344481,0.370254188761919,0.526900766062969,0.5274378321832479,0,36
112.97792,24.713467,1119.7228260869565,48.99804347826085,20.690217391304344,0.7415217822436703,0.4506186670650066,0.6023114732320768,0.6057845008403284,1,37
112.990757,24.713467,1109.7201086956522,49.42782608695652,20.891847826086952,0.7719392477027829,0.4013991585132078,0.6351680467608373,0.6111264409246608,1,38
113.003594,24.713467,1097.945652173913,49.14195652173912,21.0616847826087,0.8077444304885305,0.4341374760375451,0.6628437320108057,0.6435153691000493,1,39
112.84955,24.721937,1136.3858695652175,48.22217391304349,20.564673913043485,0.6908507965888804,0.5394727014713558,0.5818536066953031,0.6093231311825165,1,40
112.862387,24.721937,1186.7690217391305,47.79608695652175,19.757880434782606,0.5376396509552452,0.5882689770209368,0.4503830314838593,0.5280410799980564,0,41
112.875224,24.721937,1294.0108695652175,48.14282608695652,18.04048913043479,0.2115257486613336,0.5485597629895196,0.1705265022361964,0.308506993868975,0,42
112.888061,24.721937,1338.6548913043478,48.14108695652173,17.28586956521739,0.0757668407483308,0.5487589314611507,0.0475578975335425,0.2206100130612776,0,43
