,,,,,,,,,∑Áœ’µ»º∂,id
112.97792,24.721937,1128.336957,49.54891304,20.54157609,0.284673101,0.612467946,0.578089714,0.491743587,0,50
112.990757,24.721937,1123.899457,50.48782609,20.66413043,0.271179018,0.719994025,0.598060488,0.52974451,1,51
113.003594,24.721937,1105.497283,49.63695652,20.93641304,0.215219475,0.62255085,0.642430147,0.493400157,0,52
112.862387,24.730407,1173.959239,49.57152174,19.80543478,0.423406822,0.615057136,0.458132223,0.498865394,0,53
112.875224,24.730407,1269.470109,48.93673913,18.31195652,0.713847756,0.542360644,0.214763318,0.490323906,0,54
112.888061,24.730407,1291.586957,49.03695652,17.90081522,0.781103325,0.553837727,0.147766019,0.49423569,0,55
112.900898,24.730407,1300.279891,48.4948913,17.73478261,0.807537846,0.491759404,0.120710269,0.47333584,0,56
112.913735,24.730407,1262.048913,49.10913043,18.27934783,0.691280492,0.562103219,0.209449586,0.487611099,0,57
112.926572,24.730407,1290.5625,48.38652174,17.94755435,0.777988035,0.479348719,0.155382367,0.470906374,0,58
112.939409,24.730407,1251.527174,49.77956522,18.53043478,0.659284723,0.638882665,0.250365319,0.516177569,1,59
112.952246,24.730407,1211.230978,49.62586957,19.18559783,0.536747207,0.621281151,0.357127042,0.5050518,0,60
112.965083,24.730407,1160.913043,49.54804348,19.97201087,0.383734382,0.612368362,0.485276535,0.493793093,0,61
112.97792,24.730407,1138.616848,50.76271739,20.38423913,0.31593343,0.751475091,0.552450959,0.53995316,1,62
112.990757,24.730407,1120.75,50.89641304,20.69728261,0.261601772,0.766786168,0.603462782,0.54395024,1,63
113.003594,24.730407,1099.005435,50.06054348,21,0.195478284,0.671060821,0.652791923,0.506443676,0,64
112.84955,24.738877,1104.961957,49.66847826,21.02119565,0.213591591,0.626160779,0.656245849,0.498666073,0,65
112.862387,24.738877,1141.804348,50.70293478,20.27119565,0.325626363,0.744628675,0.534030023,0.534761687,1,66
112.875224,24.738877,1205.415761,49.91097826,19.22744565,0.519063595,0.653932333,0.363946331,0.512314086,1,67
112.888061,24.738877,1213.657609,50.94576087,18.98777174,0.544126397,0.772437573,0.324890404,0.547151458,1,68
112.900898,24.738877,1198.024457,49.56065217,19.10923913,0.496587228,0.613812334,0.344684054,0.485027872,0,69
112.913735,24.738877,1217.567935,50.40804348,18.86005435,0.556017386,0.710857171,0.304078289,0.523650949,1,70
112.926572,24.738877,1266.30163,49.78293478,18.26277174,0.704212666,0.639268554,0.206748439,0.51674322,1,71
112.939409,24.738877,1264.456522,49.13913043,18.33016304,0.698601838,0.565538875,0.217730151,0.493956955,0,72
112.952246,24.738877,1215.57337,50.40771739,19.10326087,0.549952072,0.710819827,0.34370987,0.534827257,1,73
112.965083,24.738877,1162.796196,50.19826087,19.91902174,0.389460898,0.686832474,0.476641722,0.517645031,1,74
112.97792,24.738877,1125.766304,51.29543478,20.54456522,0.276855953,0.812482884,0.578576806,0.555971881,1,75
112.990757,24.738877,1106.027174,50.48054348,20.87961957,0.216830832,0.719160007,0.633175397,0.523055412,1,76
113.003594,24.738877,1095.214674,50.19728261,21.02418478,0.183950883,0.686720442,0.656732941,0.509134755,0,77
112.84955,24.747347,1086.122283,51.19391304,21.60570652,0.156301646,0.800856424,0.751494487,0.569550852,1,78
112.862387,24.747347,1107.307065,51.42434783,20.98043478,0.22072288,0.827246247,0.649603684,0.565857604,1,79
112.875224,24.747347,1124.690217,50.66326087,20.48097826,0.273583658,0.740085145,0.568215029,0.527294611,1,80
112.888061,24.747347,1144.918478,49.7251087,19.95353261,0.335096186,0.632646202,0.482265421,0.483335936,0,81
112.900898,24.747347,1161.880435,50.50271739,19.5986413,0.386676142,0.721699405,0.424434309,0.510936619,0,82
112.913735,24.747347,1211.63587,50.41271739,18.9388587,0.537978449,0.711392437,0.316919807,0.522096898,1,83
112.926572,24.747347,1250.274457,49.58717391,18.45625,0.655475309,0.616849653,0.23827658,0.503533847,0,84
112.939409,24.747347,1268.133152,49.2901087,18.23179348,0.709782178,0.582829188,0.201700394,0.49810392,0,85
112.952246,24.747347,1225.095109,49.96130435,18.9548913,0.578906921,0.65969577,0.319532392,0.519378361,1,86
112.965083,24.747347,1166.82337,49.88956522,19.85706522,0.401707212,0.651480071,0.466545632,0.506577638,0,87
112.97792,24.747347,1119.423913,50.63619565,20.60298913,0.257569247,0.736985585,0.588097241,0.527550691,1,88
112.84955,24.755817,1058.652174,49.02369565,22.4076087,0.072767237,0.552319068,0.882168002,0.502418103,0,89
112.862387,24.755817,1063.581522,49.24434783,21.93668478,0.087756991,0.577588568,0.805428862,0.49025814,0,90
112.875224,24.755817,1077.586957,51.48934783,21.32554348,0.1303464,0.834690169,0.705840677,0.556959082,1,91
112.888061,24.755817,1112.119565,50.01815217,20.46603261,0.235357308,0.66620609,0.565779569,0.489114322,0,92
112.900898,24.755817,1162.225543,50.54347826,19.62228261,0.38772559,0.726367416,0.428286764,0.51412659,1,93
112.913735,24.755817,1221.13587,49.90804348,18.82173913,0.566867191,0.653596236,0.297834654,0.50609936,0,94
112.926572,24.755817,1270.097826,48.88434783,18.16956522,0.715756594,0.536360694,0.191560023,0.48122577,0,95
112.939409,24.755817,1288.766304,49.46173913,17.90788043,0.772525947,0.602484627,0.148917327,0.507975967,0,96
112.952246,24.755817,1229.263587,50.2775,18.8826087,0.591582931,0.695907088,0.30775362,0.53174788,1,97
112.965083,24.755817,1185.230978,49.50695652,19.59076087,0.457683282,0.607663007,0.423150157,0.496165482,0,98
112.97792,24.755817,1134.190217,49.56423913,20.38668478,0.3024724,0.614223118,0.552849489,0.489848336,0,99
112.84955,24.764287,1048.877717,48.00597826,22.8138587,0.043043895,0.435768168,0.948368242,0.475726768,0,100
112.862387,24.764287,1052.271739,49.1873913,22.28016304,0.053364844,0.5710658,0.861400168,0.495276938,0,101
112.875224,24.764287,1066.119565,50.92576087,21.56467391,0.095474979,0.770147136,0.744808041,0.536810052,1,102
112.888061,24.764287,1088.692935,49.99423913,20.90815217,0.164118794,0.663467523,0.637824913,0.48847041,0,103
112.900898,24.764287,1135.673913,49.39521739,20.04836957,0.3069842,0.594866433,0.497719524,0.466523386,0,104
112.913735,24.764287,1193.877717,50.19597826,19.22826087,0.483977325,0.686571066,0.364079175,0.511542522,0,105
112.926572,24.764287,1255.076087,49.49467391,18.36793478,0.670076684,0.60625638,0.223885223,0.500072762,0,106
112.939409,24.764287,1296.978261,49.16141304,17.75027174,0.797497852,0.568090721,0.123234291,0.496274288,0,107
112.952246,24.764287,1267.399457,47.71108696,18.31847826,0.707551068,0.401996664,0.215826064,0.441791265,0,108
112.965083,24.764287,1224.513587,48.32358696,18.99728261,0.57713856,0.47214131,0.326440243,0.458573371,0,109
112.97792,24.764287,1158.494565,49.29728261,20.02309783,0.376379983,0.583650758,0.493601382,0.484544041,0,110
112.836713,24.772757,1048.013587,49.66673913,23.13070652,0.040416143,0.62596161,1,0.555459251,1,111
112.84955,24.772757,1046.92663,48.96543478,22.63994565,0.037110795,0.545646924,0.92002834,0.500928686,0,112
112.862387,24.772757,1061.538043,49.81315217,21.9013587,0.081542936,0.642729106,0.79967232,0.507981454,0,113
112.875224,24.772757,1088.956522,50.63978261,21.1375,0.164920341,0.73739637,0.675198158,0.52583829,1,114
112.888061,24.772757,1085.532609,49.17456522,20.95951087,0.154508495,0.569596933,0.64619404,0.456766489,0,115
112.900898,24.772757,1110.491848,48.99413043,20.42690217,0.230407549,0.548933204,0.559403091,0.446247948,0,116
112.913735,24.772757,1165.581522,50.14163043,19.60407609,0.397930852,0.680347051,0.425319931,0.501199278,0,117
112.926572,24.772757,1215.788043,49.77152174,18.88315217,0.550604879,0.637961511,0.307842182,0.498802857,0,118
