timestamp,event,row,col,energy_left_J,cum_energy_J,cum_time_sec
2025-08-22T12:55:12,takeoff,208,83,539640,75051510,0
2025-08-22T13:04:36,arrive_task,224,98,535129,75056022,564
2025-08-22T13:04:36,photo_point,211,78,524662,75066488,1872
2025-08-22T13:04:36,photo_point,211,79,523724,75067426,1989
2025-08-22T13:04:36,photo_point,211,80,523044,75068106,2075
2025-08-22T13:04:36,photo_point,211,81,522392,75068758,2156
2025-08-22T13:04:36,photo_point,211,82,521997,75069153,2205
2025-08-22T13:04:36,photo_point,211,83,521761,75069389,2235
2025-08-22T13:04:36,photo_point,211,84,521507,75069643,2267
2025-08-22T13:04:36,photo_point,211,85,521254,75069897,2298
2025-08-22T13:04:36,photo_point,211,86,521027,75070123,2327
2025-08-22T13:04:36,photo_point,211,87,520773,75070377,2358
2025-08-22T13:04:36,photo_point,211,88,520528,75070622,2389
2025-08-22T13:04:36,photo_point,211,89,520219,75070931,2428
2025-08-22T13:04:36,photo_point,211,90,519965,75071185,2459
2025-08-22T13:04:36,photo_point,211,91,519570,75071580,2509
2025-08-22T13:04:36,photo_point,211,92,518947,75072204,2587
2025-08-22T13:04:36,photo_point,211,93,518466,75072684,2647
2025-08-22T13:04:36,photo_point,211,94,518293,75072857,2668
2025-08-22T13:04:36,photo_point,211,95,518183,75072967,2682
2025-08-22T13:04:36,photo_point,211,96,517948,75073203,2712
2025-08-22T13:04:36,photo_point,211,97,517721,75073429,2740
2025-08-22T13:04:36,photo_point,211,98,517383,75073767,2782
2025-08-22T13:04:36,photo_point,211,99,517174,75073976,2808
2025-08-22T13:04:36,photo_point,211,100,516920,75074230,2840
2025-08-22T13:04:36,photo_point,211,101,516611,75074539,2879
2025-08-22T13:04:36,photo_point,211,102,516330,75074820,2914
2025-08-22T13:04:36,photo_point,211,103,516021,75075129,2952
2025-08-22T13:04:36,photo_point,211,104,515626,75075524,3002
2025-08-22T13:04:36,photo_point,211,105,515031,75076119,3076
2025-08-22T13:04:36,photo_point,211,106,514636,75076514,3126
2025-08-22T13:04:36,photo_point,211,107,513898,75077252,3218
2025-08-22T13:04:36,photo_point,211,108,513361,75077790,3285
2025-08-22T13:04:36,photo_point,211,109,512737,75078413,3363
2025-08-22T13:04:36,photo_point,211,110,512142,75079008,3437
2025-08-22T13:04:36,photo_point,211,111,511747,75079403,3487
2025-08-22T13:04:36,photo_point,211,112,511267,75079884,3547
2025-08-22T13:04:36,photo_point,211,113,511013,75080137,3578
2025-08-22T13:04:36,photo_point,211,114,510704,75080447,3617
2025-08-22T13:04:36,photo_point,211,115,510486,75080664,3644
2025-08-22T13:04:36,photo_point,211,116,510223,75080927,3677
2025-08-22T13:04:36,photo_point,211,117,509951,75081199,3711
2025-08-22T13:04:36,photo_point,211,118,509679,75081471,3745
2025-08-22T13:04:36,photo_point,211,119,509399,75081752,3780
2025-08-22T13:04:36,photo_point,212,119,509004,75082147,3830
2025-08-22T13:04:36,photo_point,212,118,508804,75082346,3855
2025-08-22T13:04:36,photo_point,212,117,508559,75082591,3885
2025-08-22T13:04:36,photo_point,212,116,508323,75082827,3915
2025-08-22T13:04:36,photo_point,212,115,507528,75083622,4014
2025-08-22T13:04:36,photo_point,212,114,507048,75084102,4074
